"","SiteID","Lat","Long","woody_prp","herb_prp","woody_mnParea","herb_mnParea","woody_ClmIdx","herb_ClmIdx","woody_lrgPInx","herb_lrgPInx","woody_AggInx","herb_AggInx","woody_EdgDens","herb_EdgDens","woody_Pdens","herb_Pdens","woody_IJI","herb_IJI","woody_COH","herb_COH","woody_DIV","herb_DIV","woody_SPLIT","herb_SPLIT","vegDens50m"
"1","Site 1",27.68608,-98.21182,0.768865521432913,0.223557434485717,0.0421186576341298,0.000966450440983746,0.767119583553782,0.756146227720383,62.0591588943228,2.97375664769235,94.6119810826538,81.0716104106143,2764.93522280983,2829.33358252283,1824.92950174162,23154.9529661658,26.7413225389905,35.586169139799,99.9165489413476,96.7767014032644,0.59730050859236,0.997781175935892,2.48324127876221,450.689180893734,0.354643416469928
"2","Site 2",27.68605,-98.20509,0.617702460835115,0.347495480759992,0.0149464670683561,0.00179786880029925,0.800265900466578,0.765689969382003,40.4566620865355,20.4406724552992,92.3627141788861,84.7124838198877,3150.60317405264,3550.2326065242,4132.26310124622,19331.3206458001,38.9525917033092,68.0959972034346,99.7564036716756,99.3457478587579,0.833035560505159,0.957337998136415,5.98929929645826,23.4400627330518,0.710794826801846
"3","Site 3",27.68602,-98.1984,0.556974922855885,0.415624113205776,0.0107484486891395,0.00261884555425796,0.775125143860423,0.741277020422905,9.10894749266216,32.7305686327782,90.0422307613752,84.8743605176046,3697.24138616754,4203.61569706835,5183.87540005258,15860.9266416883,35.9185111650908,68.1059617548977,99.2032989496649,99.7412254065187,0.974001188530986,0.892464813343148,38.4632967238451,9.29928176152269,0.64348966874385
"4","Site 4",27.68121,-98.21185,0.597988085821412,0.384777469421318,0.0188276491259401,0.00219074498805362,0.814765798624991,0.798660239954788,21.7677909294376,30.6568530292739,92.5441413718929,87.6234124409011,2989.78179107388,3173.50911744029,3173.47200054086,17587.0972661553,33.146983137322,51.5929745174617,99.6010955399313,99.6546667936332,0.926533248475936,0.905818643733908,13.6115995229822,10.6178126929356,0.607517358650985
"5","Site 5",27.68118,-98.20512,0.500146355960039,0.452239916521242,0.0113769113942987,0.00390831016107833,0.834335915857864,0.800549075789783,13.1757810064226,42.6246447946267,91.7232890092075,89.0723425682747,2762.10222171239,3306.45352832293,4398.31104782527,11567.9910821846,29.563800501056,73.8091140232556,98.8863279265303,99.8606563000672,0.978138010410328,0.818308289026864,45.7414909973442,5.50382840606226,0.706506704304869
"6","Site 6",27.68115,-98.19844,0.770438066296491,0.217136089914755,0.0346882562731837,0.00140142754514346,0.813274987307755,0.79115245024783,60.3093334521079,7.52644589448366,95.7122235076253,83.6507944672774,2201.18922993186,2380.57590786861,2220.83651884334,15496.3662387258,32.1645026438996,55.6033555587919,99.8692713152867,98.6406900498852,0.630019910444862,0.992640330137895,2.70284814840278,135.875660014184,0.563210903442401
"7","Site 7",27.67634,-98.21189,0.53105120269923,0.46240405778319,0.00853014101432957,0.00297231356993369,0.811573048868578,0.809145181307424,16.8610516610508,41.876251327883,91.1701526760835,89.7335143072435,3121.22096169625,3184.35803930302,6229.57448005245,15546.0979824944,22.7338130031675,31.0868087884885,99.0751443394702,99.8131478517647,0.958939385581675,0.824606445093359,24.3542385852295,5.70146377688896,0.397843154949914
"8","Site 8",27.67631,-98.20516,0.512475951923958,0.469501118333292,0.0105510267533485,0.00364592507265296,0.814226998619852,0.798041790540765,13.1167364827397,41.3732053260645,90.9410647629916,89.2876069706483,3104.86663656297,3360.26504098044,4856.07100348659,12879.4137952345,27.705097654321,52.9901652129082,99.2579757941291,99.8209962136331,0.969592861613818,0.828675297518902,32.8870144667886,5.83686990561287,0.714579848153391
"9","Site 9",27.67628,-98.19848,0.821372630073625,0.154843755237021,0.0508540689739825,0.000694143371275249,0.760141911662951,0.714217818785861,79.3469522284554,4.6170326011674,95.7084582480382,75.8555352228354,2353.46474144311,2499.14816930403,1614.58066529479,22350.497868621,51.4638957931904,64.9711965963332,99.9642103589425,97.1015400604254,0.370216295901914,0.997553332048068,1.58784673768608,408.719131343613,0.543113190192111
"10","Site 10",27.67147,-98.21192,0.516689085619545,0.477845456698649,0.0115054214895178,0.00424651566865602,0.807566720146624,0.801313408887165,28.9908873884306,36.3914325417327,90.6998237915904,89.6251112195737,3209.8276053851,3313.45424068859,4490.98240350943,11252.1997134761,12.4437499665141,27.6865896076781,99.6131486832213,99.7669107616388,0.913380134365705,0.864630398510891,11.54469581172,7.38718286084675,0.336430848538289
"11","Site 11",27.67144,-98.2052,0.67394656048479,0.305806933104524,0.0277673877597242,0.00162781321960671,0.817680555275652,0.794633402022547,39.237061468464,10.6327681854321,94.0446843336448,85.7522569165925,2695.01240066102,2906.4696181381,2424.99646726729,18812.2812677547,25.6735467595313,50.8311708285686,99.8292861344505,98.6864872779582,0.801136729945869,0.985992501262523,5.028580691285,71.3903330452916,0.348777323859126
"12","Site 12",27.67141,-98.19851,0.651063592081155,0.324493899986593,0.0158498132556504,0.00191093770523613,0.801088971243059,0.779990230908395,40.4504416225341,22.6292018724974,93.0591158327622,85.1383431846801,3014.67324064435,3226.72480705824,4107.65622511261,16981.1993041176,44.3019457243209,61.3942945867516,99.6931107805956,99.5795137664117,0.831902127875122,0.947474554157057,5.94891527988595,19.0383914682058,0.505459541543134
"13","Site 13",27.6666,-98.21196,0.39095256183943,0.605273389493442,0.00431626229580039,0.00697460869681308,0.77332489375694,0.769743518603411,5.80529932878732,57.6750742698836,86.1931711105654,90.9124586012617,3608.49193133748,3668.99163662882,9056.39760107114,8679.04770102651,11.7521749290316,20.4760786934151,98.0970579914617,99.914524531388,0.993407164554922,0.667347358718863,151.679805802909,3.00613876429396,0.418267164721827
"14","Site 14",27.66656,-98.20523,0.673250136860804,0.286185438010435,0.0228884968459153,0.00124415458957908,0.803384385803767,0.76142079495062,53.079540696794,5.58762482517794,93.5621377935386,82.9839343981435,2910.5831556678,3245.26904011269,2938.44580788906,23049.7875372518,33.8136473181508,63.282228962171,99.8573750275191,98.5184505399483,0.71283259601562,0.992533231909915,3.48228937590143,133.926752235402,0.696856342596005
